Downloaded from wid.world on 29-05-2026 at 02:05:19
Percentile ;Year ;"sfiinc_z_US
Fiscal income
Top 10% | share
USA"
p90p100;1962;0.3183
p90p100;1963;0.3184
p90p100;1964;0.3185
p90p100;1965;0.3174
p90p100;1966;0.3164
p90p100;1967;0.322
p90p100;1968;0.3224
p90p100;1969;0.3139
p90p100;1970;0.3092
p90p100;1971;0.3124
p90p100;1972;0.3133
p90p100;1973;0.3115
p90p100;1974;0.3106
p90p100;1975;0.3107
p90p100;1976;0.3103
p90p100;1977;0.3103
p90p100;1978;0.312
p90p100;1979;0.3177
p90p100;1980;0.3224
p90p100;1981;0.3226
p90p100;1982;0.3342
p90p100;1983;0.3447
p90p100;1984;0.3468
p90p100;1985;0.3538
p90p100;1986;0.3806
p90p100;1987;0.3581
p90p100;1988;0.382
p90p100;1989;0.3753
p90p100;1990;0.374
p90p100;1991;0.3705
p90p100;1992;0.3851
p90p100;1993;0.3833
p90p100;1994;0.3829
p90p100;1995;0.3908
p90p100;1996;0.4047
p90p100;1997;0.4172
p90p100;1998;0.4261
p90p100;1999;0.4371
p90p100;2000;0.4485
p90p100;2001;0.4208
p90p100;2002;0.4111
p90p100;2003;0.417
p90p100;2004;0.4362
p90p100;2005;0.46
p90p100;2006;0.4653
p90p100;2007;0.4702
p90p100;2008;0.4518
p90p100;2009;0.4346
p90p100;2010;0.4495
p90p100;2011;0.451
p90p100;2012;0.477
p90p100;2013;0.4587
p90p100;2014;0.4723
p90p100;2015;0.4725
p90p100;2016;0.4664
p90p100;2017;0.4908
p90p100;2018;0.4908
p90p100;2019;0.4826
